FPR,TPR,Threshold
0.003309459125710052,0.4569850039463299,0.9765695
0.003309459125710052,0.4581689029202841,0.9762162
0.003309459125710052,0.4589581689029203,0.9761071
0.0033588540380340825,0.4589581689029203,0.9760157
0.003408248950358113,0.4605367008681926,0.97600096
0.003408248950358113,0.46408839779005523,0.97559935
0.003457643862682144,0.46408839779005523,0.97556305
0.003457643862682144,0.4660615627466456,0.9753356
0.003457643862682144,0.46685082872928174,0.9753264
0.0035070387750061743,0.46724546172059983,0.9752715
0.003556433687330205,0.46724546172059983,0.97521794
0.003556433687330205,0.46842936069455404,0.9751325
0.0036058285996542357,0.46842936069455404,0.97510695
0.0036058285996542357,0.4692186266771902,0.97496754
0.003655223511978266,0.4692186266771902,0.9748829
0.003655223511978266,0.47000789265982634,0.97488075
0.003655223511978266,0.47040252565114443,0.9746732
0.0037540133366263276,0.47040252565114443,0.9746108
0.0037540133366263276,0.47434885556432516,0.974051
0.003803408248950358,0.47434885556432516,0.97405076
0.003803408248950358,0.47829518547750594,0.9735864
0.003852803161274389,0.47829518547750594,0.97352266
0.003852803161274389,0.47868981846882397,0.9735174
0.0039021980735984194,0.47868981846882397,0.97345144
0.0039021980735984194,0.48105761641673245,0.9734311
0.0039021980735984194,0.48145224940805054,0.9733373
0.0039021980735984194,0.48263614838200475,0.9733296
0.0039021980735984194,0.48303078137332284,0.97328
0.004050382810570511,0.48421468034727705,0.97327936
0.004050382810570511,0.4861878453038674,0.9730208
0.004247962459866634,0.4897395422257301,0.9729859
0.004247962459866634,0.4905288082083662,0.9729531
0.004247962459866634,0.4913180741910024,0.972946
0.0042973573721906645,0.4913180741910024,0.97289634
0.0042973573721906645,0.494869771112865,0.9725514
0.004346752284514695,0.494869771112865,0.97241455
0.004346752284514695,0.4952644041041831,0.972359
0.004445542109162756,0.4952644041041831,0.9723504
0.004445542109162756,0.4956590370955012,0.9723493
0.004494937021486787,0.4956590370955012,0.97229844
0.004494937021486787,0.4984214680347277,0.9719516
0.004593726846134848,0.4984214680347277,0.9719052
0.004593726846134848,0.4992107340173639,0.9718774
0.004593726846134848,0.5,0.9717092
0.004593726846134848,0.5019731649565904,0.97143847
0.004593726846134848,0.5027624309392266,0.971392
0.004593726846134848,0.5031570639305446,0.9713793
0.004692516670782909,0.5031570639305446,0.97130346
0.004692516670782909,0.5039463299131808,0.9712634
0.00474191158310694,0.5039463299131808,0.9712522
0.00474191158310694,0.5043409629044988,0.97124577
0.004791306495430971,0.5043409629044988,0.971218
0.004791306495430971,0.505130228887135,0.9711657
0.004840701407755001,0.505130228887135,0.97111255
0.004840701407755001,0.5059194948697711,0.9711013
0.004890096320079032,0.5059194948697711,0.9710886
0.004890096320079032,0.5074980268350434,0.97091323
0.004988886144727093,0.5074980268350434,0.9707239
0.004988886144727093,0.5090765588003157,0.9705198
0.005038281057051124,0.5090765588003157,0.9705018
0.005038281057051124,0.51026045777427,0.97027874
0.005038281057051124,0.511049723756906,0.9701975
0.005087675969375155,0.511049723756906,0.9701744
0.005087675969375155,0.5134175217048145,0.96994317
0.005087675969375155,0.5142067876874507,0.9699374
0.005087675969375155,0.5149960536700868,0.96990573
0.005087675969375155,0.516179952644041,0.9698877
0.005087675969375155,0.5165745856353591,0.96981186
0.005087675969375155,0.5173638516179953,0.9697892
0.005137070881699185,0.5173638516179953,0.9697203
0.005137070881699185,0.5197316495659037,0.96960497
0.005186465794023216,0.5201262825572218,0.96960014
0.005186465794023216,0.521310181531176,0.9694462
0.0052358607063472465,0.521310181531176,0.96942186
0.0052358607063472465,0.5228887134964483,0.9693396
0.0052852556186712765,0.5228887134964483,0.96933615
0.0052852556186712765,0.5248618784530387,0.96918654
0.005334650530995307,0.5248618784530387,0.96913075
0.005334650530995307,0.5272296764009471,0.9688713
0.005334650530995307,0.5288082083662194,0.9688598
0.005384045443319338,0.5288082083662194,0.96885395
0.005384045443319338,0.5292028413575375,0.9687818
0.005433440355643368,0.5299921073401737,0.9687659
0.005433440355643368,0.5307813733228098,0.968764
0.005433440355643368,0.5315706393054459,0.96856815
0.005433440355643368,0.5327545382794001,0.9685588
0.005433440355643368,0.5335438042620363,0.968388
0.005482835267967399,0.5335438042620363,0.9683662
0.005482835267967399,0.5339384372533543,0.9683049
0.00553223018029143,0.5347277032359905,0.9682451
0.00553223018029143,0.5355169692186267,0.9682017
0.00553223018029143,0.5402525651144435,0.9673768
0.00558162509261546,0.5402525651144435,0.967339
0.00558162509261546,0.5418310970797159,0.96716213
0.005680414917263522,0.5418310970797159,0.96705794
0.005680414917263522,0.5422257300710339,0.96703297
0.005779204741911583,0.5422257300710339,0.9669835
0.005779204741911583,0.5438042620363063,0.9663998
0.005828599654235614,0.5438042620363063,0.96637505
0.005828599654235614,0.5453827940015785,0.96618015
0.005877994566559645,0.5453827940015785,0.96610403
0.005877994566559645,0.5465666929755327,0.9658232
0.005877994566559645,0.5489344909234412,0.9657701
0.005877994566559645,0.5493291239147593,0.96575147
0.005927389478883675,0.5493291239147593,0.9657237
0.005927389478883675,0.5524861878453039,0.9651068
0.005976784391207706,0.5524861878453039,0.9650334
0.005976784391207706,0.5536700868192581,0.9649553
0.006026179303531737,0.5536700868192581,0.96486825
0.006026179303531737,0.5540647198105761,0.9648524
0.006075574215855767,0.5540647198105761,0.9648246
0.006075574215855767,0.5568271507498027,0.96442145
0.0061743640405038285,0.5568271507498027,0.96428406
0.0061743640405038285,0.5607734806629834,0.96361977
0.0062237589528278585,0.5607734806629834,0.9635786
0.0062237589528278585,0.5619573796369376,0.9634134
0.006273153865151889,0.5619573796369376,0.9633979
0.006273153865151889,0.5627466456195738,0.96333414
0.006470733514448012,0.5627466456195738,0.9630902
0.006470733514448012,0.5655090765588003,0.96270066
0.006520128426772042,0.5655090765588003,0.96254104
0.006618918251420104,0.5655090765588003,0.9624926
0.006618918251420104,0.5662983425414365,0.9624435
0.006668313163744134,0.5662983425414365,0.9624083
0.006668313163744134,0.5682715074980268,0.96199095
0.006717708076068165,0.5682715074980268,0.96197605
0.006717708076068165,0.569060773480663,0.96192
0.006767102988392196,0.569060773480663,0.9619154
0.006767102988392196,0.5710339384372534,0.9612884
0.006865892813040257,0.5710339384372534,0.9608796
0.006865892813040257,0.574191002367798,0.95992476
0.006915287725364288,0.574191002367798,0.95987976
0.006915287725364288,0.5753749013417522,0.9597448
0.007014077550012349,0.5753749013417522,0.9596026
0.007014077550012349,0.5761641673243884,0.95956826
0.00706347246233638,0.5761641673243884,0.95955735
0.00706347246233638,0.5769534333070244,0.9594245
0.00711286737466041,0.5769534333070244,0.95938796
0.00711286737466041,0.5836621941594318,0.9582217
0.0071622622869844405,0.5840568271507498,0.95811737
0.0071622622869844405,0.5844514601420678,0.95808476
0.0071622622869844405,0.585240726124704,0.95803815
0.0071622622869844405,0.5860299921073402,0.9579128
0.007211657199308471,0.5872138910812944,0.9578818
0.007211657199308471,0.5876085240726124,0.9578302
0.0072610521116325015,0.5876085240726124,0.95775616
0.0072610521116325015,0.5883977900552486,0.95747215
0.007310447023956532,0.5883977900552486,0.9574438
0.007310447023956532,0.5891870560378848,0.95728225
0.007359841936280563,0.5891870560378848,0.9572338
0.007359841936280563,0.5899763220205209,0.95720863
0.007359841936280563,0.590370955011839,0.95708406
0.007409236848604593,0.590370955011839,0.95707595
0.007409236848604593,0.590765588003157,0.95702493
0.007606816497900716,0.5915548539857932,0.95681196
0.007656211410224747,0.5915548539857932,0.956761
0.007656211410224747,0.5931333859510655,0.956592
0.007755001234872808,0.5931333859510655,0.9564585
0.007755001234872808,0.5939226519337016,0.9564042
0.007804396147196839,0.5939226519337016,0.95631087
0.007804396147196839,0.5943172849250198,0.95625466
0.00785379105952087,0.5943172849250198,0.956188
0.00785379105952087,0.595501183898974,0.9559164
0.0079031859718449,0.595501183898974,0.9557599
0.0079031859718449,0.5970797158642462,0.95566255
0.00795258088416893,0.5970797158642462,0.9556478
0.00795258088416893,0.5986582478295186,0.9554383
0.00795258088416893,0.5994475138121547,0.95539373
0.00795258088416893,0.601026045777427,0.9552489
0.008001975796492962,0.601026045777427,0.95514894
0.008001975796492962,0.601420678768745,0.9550441
0.008051370708816992,0.601420678768745,0.9550198
0.008051370708816992,0.6026045777426993,0.95448166
0.008100765621141022,0.6026045777426993,0.95447546
0.008100765621141022,0.6029992107340174,0.9544395
0.008150160533465053,0.6029992107340174,0.9544141
0.008150160533465053,0.6033938437253354,0.9543892
0.008199555445789083,0.6033938437253354,0.95438915
0.008199555445789083,0.6045777426992897,0.9541808
0.008248950358113114,0.6045777426992897,0.9541119
0.008248950358113114,0.6077348066298343,0.9535681
0.008397135095085207,0.6077348066298343,0.95338005
0.008397135095085207,0.6081294396211523,0.95336586
0.008446530007409237,0.6081294396211523,0.9532208
0.008446530007409237,0.6089187056037885,0.9531623
0.008495924919733267,0.6089187056037885,0.953013
0.008495924919733267,0.6093133385951065,0.9530081
0.008545319832057299,0.6093133385951065,0.9529898
0.008545319832057299,0.6097079715864246,0.95297295
0.008644109656705359,0.6097079715864246,0.95281184
0.008644109656705359,0.6101026045777427,0.9527455
0.008841689306001483,0.6101026045777427,0.9525857
0.008841689306001483,0.6108918705603789,0.9524096
0.008891084218325513,0.6112865035516969,0.95232475
0.008891084218325513,0.6124704025256511,0.95207626
0.008940479130649543,0.6124704025256511,0.95201415
0.008940479130649543,0.6136543014996053,0.95187134
0.008989874042973574,0.6136543014996053,0.9517533
0.008989874042973574,0.6152328334648777,0.9514186
0.008989874042973574,0.6160220994475138,0.95136464
0.008989874042973574,0.6168113654301499,0.9512092
0.009039268955297605,0.6168113654301499,0.9511906
0.009039268955297605,0.622336227308603,0.9501271
0.009088663867621635,0.622336227308603,0.95009834
0.009088663867621635,0.6250986582478295,0.9496457
0.009138058779945666,0.6250986582478295,0.9495967
0.009138058779945666,0.6286503551696921,0.94906425
0.009236848604593726,0.6286503551696921,0.9489135
